name,currency,capital,languages,latitude,longitude,area,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population,region_Americas,region_Asia,region_Europe,region_Oceania
Namibia,Namibian dollar,Windhoek,Afrikaans,0.1792452830188679,0.4249013621837788,0.04828643070665335,Southern Africa,"['AGO', 'BWA', 'ZAF', 'ZMB']",0.00037693177534866196,0.4848699763593381,0.11396251899375316,0.06957482054113749,0.5740181268882175,0.3494897959183674,0.2335928809788654,0.2575516693163752,0.0018821557430608825,False,False,False,False
Australia,Australian dollar,Canberra,English,0.13207547169811318,0.8390909253209077,0.4498721499404291,Australia and New Zealand,"['CHN', 'IND']",0.05996641880546894,0.5650118203309693,0.06078001013000169,0.061844284925455545,0.12386706948640483,0.4642857142857143,0.15387467556544307,0.4674085850556438,0.019432370237790847,False,False,False,True
Morocco,Moroccan dirham,Rabat,Arabic,0.6886792452830188,0.346348169175013,0.026116605014453658,Northern Africa,"['DZA', 'ESH', 'ESP']",0.005208511804817874,0.5862884160756502,0.03798750633125106,0.0530093870789619,0.38368580060422963,0.3494897959183674,0.25101965146459027,0.45627980922098565,0.026513537316401034,False,False,False,False
Ireland,Euro,Dublin,English,0.8867924528301887,0.33563637012836306,0.0041098370406659835,Northern Europe,['GBR'],0.01970325189322551,0.5366430260047281,0.036299172716528785,0.05963556046383214,0.14501510574018125,0.5586734693877551,0.14312198739340007,0.7742448330683624,0.0038353362311429307,False,False,True,False
Nicaragua,Nicaraguan córdoba,Managua,Spanish,0.5094339622641509,0.060700194597682666,0.0076248187037084745,Central America,"['CRI', 'HND']",0.0006167974505705377,0.5768321513002365,0.10552085092014182,0.053782440640530095,0.08157099697885195,0.45663265306122447,0.1364479050797182,0.5675675675675675,0.004850990084945595,True,False,False,False
Bahamas,Bahamian dollar,Nassau,English,0.6229650943396227,0.08784996340135326,0.0008153459079008669,Caribbean,"['CHN', 'IND']",0.00047973135044375155,0.5768321513002365,0.06753334458889076,0.04803975704030922,0.2809667673716012,0.41581632653061223,0.2936596218020022,0.37519872813990457,0.0002627915565783119,True,False,False,False
Oman,Omani rial,Muscat,Arabic,0.5849056603773585,0.5677253494724439,0.01810116014057723,Western Asia,"['SAU', 'ARE', 'YEM']",0.0035979851283281365,0.5768321513002365,0.08441668073611346,0.054665930425179456,0.09365558912386707,0.5051020408163265,0.12680756395995552,0.5802861685214626,0.0037145941646069486,False,True,False,False
Switzerland,Swiss franc,Bern,French,0.830188679245283,0.39276596504382916,0.0024143993796021104,Western Europe,"['AUT', 'FRA', 'ITA', 'LIE', 'DEU']",0.032039200904636266,0.5626477541371159,0.0,0.05135284373274434,0.07854984894259819,0.4642857142857143,0.13088616981831666,0.5818759936406994,0.006399329526407001,False,False,True,False
Iceland,Icelandic króna,Reykjavik,Icelandic,1.0,0.29993037330619676,0.006023893694349703,Northern Europe,"['CHN', 'IND']",0.0010622622759825927,0.624113475177305,0.12662502110417018,0.07233572611816676,0.08157099697885195,0.3622448979591837,0.21134593993325917,0.45786963434022254,0.0002485866075740788,False,False,True,False
Japan,Japanese yen,Tokyo,Japanese,0.7264150943396226,0.8569439237319909,0.022103326450094662,Eastern Asia,"['CHN', 'IND']",0.13788849672754688,0.5673758865248227,0.008441668073611346,0.06736609607951408,0.07250755287009063,0.3903061224489796,0.8691138301816833,0.5755166931637519,0.08566294497002756,False,True,False,False
Netherlands,Euro,Amsterdam,Dutch,0.8820754716981132,0.3847321157588417,0.0024475022019196154,Western Europe,"['BEL', 'DEU']",0.04201075968885996,0.5626477541371159,0.036299172716528785,0.06626173384870238,0.11178247734138971,0.42091836734693877,0.153503893214683,0.6454689984101748,0.012784454103809767,False,False,True,False
Belarus,Belarusian ruble,Minsk,Belarusian,0.8867924528301887,0.4641779586881617,0.012141482412390377,Eastern Europe,"['LVA', 'LTU', 'POL', 'RUS', 'UKR']",0.0025357228523455438,0.5768321513002365,0.16461252743542124,0.09110988404196577,0.08761329305135951,0.4413265306122449,0.08045977011494253,0.4610492845786963,0.0064419443734196995,False,False,True,False
Uganda,Ugandan shilling,Kampala,English,0.3962264150943396,0.4784603574170282,0.0141270668959227,Eastern Africa,"['COD', 'KEN', 'RWA', 'SSD', 'TZA']",0.00178185930164822,0.6477541371158393,0.16461252743542124,0.07123136388735504,0.08459214501510573,0.32908163265306123,0.1835372636262514,0.3543720190779014,0.035498167561578454,False,False,False,False
Yemen,Yemeni rial,Sana'a,Arabic,0.5283018867924528,0.5355899523324943,0.03087838167071977,Western Asia,"['OMN', 'SAU']",0.0005825309255388411,0.5768321513002365,0.45585007597501265,0.0545002760905577,0.513595166163142,0.3163265306122449,0.25435669262143124,0.40699523052464226,0.028793431631580442,False,True,False,False
